Single Year of Age,Female,Male
0,28186.0,29610.0
1,27545.0,28875.0
2,28974.0,30236.0
3,29483.0,31001.0
4,29819.0,31686.0
5,31342.0,32684.0
6,32622.0,34092.0
7,33572.0,35429.0
8,34437.0,36296.0
9,35227.0,36969.0
10,36066.0,38035.0
11,36863.0,38296.0
12,37297.0,38957.0
13,36782.0,38474.0
14,36080.0,37352.0
15,34492.0,35948.0
16,33168.0,34646.0
17,33045.0,34981.0
18,32852.0,33900.0
19,31729.0,32867.0
20,31624.0,32120.0
21,29890.0,30771.0
22,30768.0,31450.0
23,30051.0,30871.0
24,29364.0,30234.0
25,29294.0,29969.0
26,28864.0,29376.0
27,29528.0,29162.0
28,29788.0,28902.0
29,30936.0,29989.0
30,32841.0,30858.0
31,33710.0,32237.0
32,34382.0,32413.0
33,34489.0,31888.0
34,36284.0,33121.0
35,37940.0,34695.0
36,39030.0,35828.0
37,39193.0,36427.0
38,40902.0,37513.0
39,42592.0,38749.0
40,43143.0,40301.0
41,43696.0,41401.0
42,43337.0,41644.0
43,41408.0,39275.0
44,39379.0,37940.0
45,38506.0,37710.0
46,38127.0,37289.0
47,37471.0,37053.0
48,37145.0,36472.0
49,37081.0,36650.0
50,36199.0,36050.0
51,35025.0,34926.0
52,34414.0,34356.0
53,32204.0,32611.0
54,32168.0,32050.0
55,31563.0,31353.0
56,31279.0,30684.0
57,31764.0,30891.0
58,30660.0,29775.0
59,30000.0,29196.0
60,29063.0,28455.0
61,28856.0,27849.0
62,27899.0,27116.0
63,26312.0,25884.0
64,26109.0,25127.0
65,25183.0,24900.0
66,24662.0,23759.0
67,24524.0,23627.0
68,23018.0,22502.0
69,23375.0,22594.0
70,21897.0,21253.0
71,21236.0,20449.0
72,21159.0,19965.0
73,20134.0,19121.0
74,19177.0,18493.0
75,18294.0,17473.0
76,17665.0,16094.0
77,15971.0,14601.0
78,14666.0,13392.0
79,13938.0,12166.0
80,12173.0,10674.0
81,11191.0,9470.0
82,10759.0,8779.0
83,9985.0,7900.0
84,8890.0,6765.0
85,8303.0,6154.0
86,7501.0,5370.0
87,6766.0,4515.0
88,5927.0,3771.0
89,4961.0,3036.0
90,4285.0,2444.0
91,3781.0,1950.0
92,2809.0,1297.0
93,2320.0,937.0
94,1737.0,718.0
95,1344.0,482.0
96,956.0,327.0
97,732.0,217.0
98,492.0,130.0
99,336.0,105.0
100,584.0,154.0
