Date,RPPI_Value,WPI_BCM_Value
2015-01-01,96.5,99.2
2015-02-01,96.2,99.0
2015-03-01,96.5,99.5
2015-04-01,97.3,99.8
2015-05-01,98.4,100.2
2015-06-01,100.0,100.6
2015-07-01,100.8,100.4
2015-08-01,102.0,100.4
2015-09-01,102.4,100.3
2015-10-01,103.5,100.0
2015-11-01,103.2,100.4
2015-12-01,103.0,100.1
2016-01-01,104.0,100.1
2016-02-01,103.4,99.6
2016-03-01,103.7,99.8
2016-04-01,104.3,100.4
2016-05-01,104.5,100.7
2016-06-01,105.6,100.8
2016-07-01,107.9,101.0
2016-08-01,109.4,101.0
2016-09-01,110.7,101.2
2016-10-01,111.2,101.3
2016-11-01,112.7,101.6
2016-12-01,112.2,101.6
2017-01-01,113.0,101.8
2017-02-01,113.3,101.8
2017-03-01,113.8,102.9
2017-04-01,114.2,103.0
2017-05-01,115.9,103.5
2017-06-01,117.5,103.5
2017-07-01,120.4,103.8
2017-08-01,122.2,103.8
2017-09-01,123.9,104.0
2017-10-01,124.3,104.0
2017-11-01,125.3,103.7
2017-12-01,125.9,104.0
2018-01-01,126.5,103.8
2018-02-01,127.4,103.9
2018-03-01,128.2,104.3
2018-04-01,129.5,103.9
2018-05-01,130.3,104.0
2018-06-01,131.6,104.1
2018-07-01,132.4,104.8
2018-08-01,133.1,104.8
2018-09-01,134.4,104.5
2018-10-01,134.7,104.1
2018-11-01,134.2,104.2
2018-12-01,133.8,104.4
2019-01-01,133.1,105.0
2019-02-01,132.9,105.5
2019-03-01,133.0,105.9
2019-04-01,133.3,106.2
2019-05-01,133.6,106.0
2019-06-01,134.2,106.0
2019-07-01,135.3,106.0
2019-08-01,135.7,106.2
2019-09-01,135.9,105.8
2019-10-01,136.0,105.8
2019-11-01,135.7,106.0
2019-12-01,134.2,105.7
2020-01-01,134.4,106.0
2020-02-01,134.2,105.9
2020-03-01,134.3,106.0
2020-04-01,134.2,106.9
2020-05-01,134.1,106.0
2020-06-01,134.2,106.4
2020-07-01,134.4,106.5
2020-08-01,134.5,106.2
2020-09-01,134.8,106.4
2020-10-01,135.4,106.2
2020-11-01,136.2,106.0
2020-12-01,137.2,105.9
2021-01-01,137.8,106.6
2021-02-01,138.3,106.6
2021-03-01,139.0,108.4
2021-04-01,140.2,110.5
2021-05-01,141.3,111.3
2021-06-01,143.4,114.7
2021-07-01,145.8,117.0
2021-08-01,149.1,119.7
2021-09-01,151.5,120.2
2021-10-01,153.3,122.2
2021-11-01,155.3,122.9
2021-12-01,156.7,123.0
2022-01-01,158.1,124.4
2022-02-01,159.1,125.5
2022-03-01,159.9,126.7
2022-04-01,160.5,130.6
2022-05-01,161.7,132.7
2022-06-01,163.4,135.9
2022-07-01,165.0,141.1
2022-08-01,166.7,141.0
2022-09-01,167.7,140.1
2022-10-01,168.1,141.9
2022-11-01,168.4,142.8
2022-12-01,168.8,142.9
2023-01-01,167.9,143.7
2023-02-01,167.3,144.0
2023-03-01,166.3,143.8
2023-04-01,166.1,145.9
2023-05-01,165.9,144.8
2023-06-01,166.9,144.8
2023-07-01,167.7,144.2
2023-08-01,168.5,144.2
2023-09-01,170.1,143.8
2023-10-01,171.9,143.8
2023-11-01,173.5,143.3
2023-12-01,175.7,143.3
2024-01-01,176.9,142.8
2024-02-01,177.7,143.0
2024-03-01,178.6,143.3
2024-04-01,179.3,143.9
2024-05-01,180.0,144.3
2024-06-01,181.7,144.7
2024-07-01,183.9,144.9
2024-08-01,185.6,144.6
2024-09-01,187.0,144.8
